PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ObjectID,x,y
WL-0053,,463702,3964783,7438.61,CR-02380,245,245,400PREC/320PENN,1,-105.4018705,35.82653688
TO-0257,,380879,3851820,7203.82,,,168,325MDER,2,-106.3022478,34.80165692
AH-049,,440065,4043487,6783.13,RG-64935,300,300,,3,-105.6695575,36.53489854
ED-0098,,567153,3594220,3200,,,152,313CLBD,4,-104.285294,32.48318947
DA-0115,,288208,3556830,4165,,,222,112SNTF,5,-107.2451279,32.12799503
TO-0419,,407584,3869490,6173.05,,,72,112QTBF,6,-106.012305,34.96374699
EB-400,,403504,3928935,6165.7,RG-28307,121,121,123ESPN/112ANCH,7,-106.0639644,35.4992956
QY-0522,,676000,3947060,4166.64,,66,66,110ALVM/121OGLL,8,-103.0558566,35.65171659
TO-0276,,400818,3857660,6195.35,,,,112QTBF,9,-106.0850019,34.85644796
QU-022,,445801,4067711,7599.76,RG-61625,139,139,,10,-105.6071944,36.75360746
EB-055,,418080,3939640,7258.13,RG-36353,320,320,400EMBD,11,-105.9043535,35.59711666
TO-0063,,381310,3829200,6636.35,,,10,310ABO,12,-106.2943571,34.59777493
EB-370,,401630,3937747,6150.65,RG-48749,90,90,112ANCHsr,13,-106.0856937,35.57855196
MI-0281,,497201,3954592,6537.89,,,,211GRRS/211DKOT/217PRGR,14,-105.0309626,35.73531986
TO-0272,,404471,3857920,6150,,,103,112QTBF,15,-106.0450759,34.85914209
QU-047,,445927,4066649,7624.17,RG-91725,207,207,,16,-105.6057077,36.74404146
BW-0833,,124038,3593950,4267.07,,,,112ANCH,17,-108.9972398,32.41929363
QY-0155,,607278,3893270,4160,,153,153,220ENRD,18,-103.8218718,35.17666823
MI-0087,,471129,3924184,6537.27,,,325,321SGDC,19,-105.3181917,35.46072925
ED-0014,,608090,3647710,4419.19,,,320,121OGLL,20,-103.8434478,32.9623853
BW-0008,,357712,3593880,5200,,,130,,21,-106.5141653,32.47304383
SO-0081,,323899,3827830,5036,,,232,112SNTF,22,-106.919896,34.57718237
BW-0752,,636375,3879150,4138.2,,,198,231DCKM,23,-103.5047395,35.04585883
MG-027,,297649,3779995,6284.9,RG-74352,530,530,,24,-107.1946328,34.14127076
TO-0183,,398582,3833320,6160,,,,112QTBF,25,-106.1065278,34.63677472
TO-0304,,400973,3851260,6175,,,240,112QTBF,26,-106.0825512,34.79876014
CX-0041,,579034,4049460,7175,,,127,211DKOT,27,-104.11651,36.58735083
TO-0206,,381881,3846450,6690,,,39,325MDER,28,-106.2905421,34.75336052
QY-0659,,618738,3835240,4630,,196,196,121OGLL,29,-103.7042924,34.65222428
