PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ProjectName,MonitoringStatus,ObjectID,x,y
BC-0002,,380541,3868940,7411,E-04316,360,360,,Water Level Network,H,1,-106.3083858,34.95595875
BC-0003,,373153,3883460,6527,S-00435 X,305,305,,Water Level Network,H,2,-106.3914987,35.08595441
BC-0007,,374881,3887740,6833,S-01102,420,420,,Water Level Network,H,3,-106.3731948,35.1247533
BC-0009,,374717,3888080,6893,S-01524 POD2,,540,,Water Level Network,H,4,-106.3750458,35.12779788
BC-0010,,374708,3888070,6890,S-01524,270,270,,Water Level Network,H,5,-106.375143,35.12770661
BC-0011,350726000000000,374845,3887660,6813,S-0082,260,260,231CHNL,Water Level Network,H,6,-106.3735777,35.12402765
BC-0012,350726000000000,374656,3887650,6812,S-00399,160,160,231SNRS,Water Level Network,H,7,-106.3756499,35.12391398
BC-0015,,366258,3880280,5844,,,,,Water Level Network,H,8,-106.4666011,35.05639728
BC-0017,,368407,3881590,6087,RG-25214,108,108,,Water Level Network,H,9,-106.4432501,35.06848884
BC-0018,,368444,3882170,6243,RG-30171,145,145,,Water Level Network,H,10,-106.4429365,35.07372206
BC-0034,350531000000000,374292,3884100,6478,S-00624,160,160,211MVRD,Water Level Network,H,11,-106.3791044,35.09186653
BC-0042,,381561,3889410,6795,S-01283 POD2,340,340,,Water Level Network,H,12,-106.3001381,35.14061659
BC-0043,,377155,3889940,6988,S-01042,580,580,,Water Level Network,H,13,-106.3485708,35.14486589
BC-0049,,378897,3892580,6688,S-01900,190,190,,Water Level Network,H,14,-106.3298395,35.16887619
BC-0050,,377857,3890050,6902,S-01698,325,325,,Water Level Network,H,15,-106.3408826,35.14594302
BC-0051,,377718,3888900,6941,S-00379,245,245,,Water Level Network,H,16,-106.3422379,35.13555916
BC-0058,,377820,3886240,6669,S-00363,,216,,Water Level Network,H,17,-106.3407255,35.11159224
BC-0060,,378791,3892370,6694,,,,,Water Level Network,H,18,-106.3309723,35.16697031
BC-0061,,378097,3888920,6922,S-01936,245,245,,Water Level Network,H,19,-106.3380818,35.13578546
BC-0065,,379478,3888010,6820,S-02153,400,400,,Water Level Network,H,20,-106.3227941,35.12774837
BC-0067,,382340,3889830,6777,,,,,Water Level Network,H,21,-106.2916487,35.1444943
