"","SiteNo","SiteID.NMBGMR","Easting","Northing","AltVa","OSEWellID","HoleDepth","WellDepth","FormationZone.NMBGMR","DecLongVa","DecLatVa","AgencyCd","AgencyNm"
"1","TO-0419",NA,"407,584","3,869,490","6,173","","","72","112QTBF",-11801235.81,4158955.596,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"2","EB-400",NA,"403,504","3,928,935","6,166","RG-28307","121","121","123ESPN/112ANCH",-11806986.51,4231942.145,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"3","EB-055",NA,"418,080","3,939,640","7,258","RG-36353","320","320","400EMBD",-11789218.71,4245325.917,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4","EB-370",NA,"401,630","3,937,747","6,151","RG-48749","90","90","112ANCHsr",-11809405.41,4242784.659,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"5","EB-674",NA,"415,491","3,938,137","6,918","RG-71979","475","475","121TSUQa/400EMBD",-11792382.45,4243441.214,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"6","SD-0153",NA,"374,600","3,883,970","6,445","X","170","170","310ABO",-11841689.5,4176218.243,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"7","BC-0030",NA,"381,074","3,889,970","6,748","S-01679","","127","",-11833881.19,4183686.264,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"8","PC-039",NA,"372,083","3,908,416","6,032","X","31","31","318ABO",-11845185.12,4206195.958,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"9","EB-463",NA,"418,467","3,960,683","7,270","RG-39113","816","816","121TSUQa",-11788980.74,4271332.773,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"10","AR-0077",NA,"238,501","4,087,240","5,740","X","","","",-12015224.41,4424473.387,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"11","EB-066",NA,"416,340","3,954,065","7,347","RG-53477","725","725","121TSUQsf",-11791523.59,4263123.966,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"12","AR-0216",NA,"232,186","4,079,990","5,629","SJ-04060","36","36","",-12022819.02,4415146.287,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"13","AR-0085",NA,"240,596","4,088,880","5,781","X","23","","",-12012672.82,4426609.259,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"14","SD-0227",NA,"395,511","3,881,430","6,451","X","148","148","050QUAL",-11816121.76,4173427.756,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"15","AR-0208",NA,"235,162","4,083,104","5,665","X","28","28","",-12019229.88,4419162.305,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"16","BC-0265",NA,"352,614","3,894,870","4,999","RG-07569","","42","",-11868747.02,4189187.398,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"17","AR-0097",NA,"237,753","4,085,610","5,735","X","","","",-12016094.98,4422402.1,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"18","EB-156",NA,"400,727","3,949,653","6,439","exempt","350","350","121TSUQs",-11810677.83,4257472.592,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"19","SD-0273",NA,"382,210","3,889,610","6,766","X","65","65","110ALVM",-11832487.54,4183262.654,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"20","BC-0075",NA,"375,096","3,888,700","6,906","S-01058 X","170","170","",-11841163.42,4182029.121,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"21","SD-0325",NA,"369,853","3,908,860","5,821","X","100","100","110ALVM",-11847922.91,4206702.673,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"22","EB-307",3.53e+14,"398,488","3,936,666","5,968","RG-23683","163","125","120IRSV/121TSUQe",-11813249.93,4241407.503,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"23","EB-078",NA,"413,940","3,957,720","6,935","RG-33783","378","378","121TSUQs",-11794521.02,4267614.813,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"24","AR-0095",NA,"238,427","4,086,390","5,756","X","","","",-12015284.1,4423405.42,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"25","AR-0082",NA,"237,843","4,086,310","5,737","X","","","",-12016009.63,4423282.635,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"26","EB-317",NA,"404,232","3,938,253","6,254","RG-22251 X6","200","200","121TSUQs",-11806215.75,4243443.961,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"27","SD-0078",NA,"377,832","3,875,950","7,248","X","120","120","325MDER",-11837612,4166440.449,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"28","SD-0247",NA,"376,043","3,891,060","7,028","X","105","105","231CHNL",-11840046.03,4184941.316,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"29","EM-0006",NA,"194,430","3,882,740","7,201","X","10","10","",-12061431.81,4169477.272,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"30","EB-134",NA,"401,980","3,938,280","6,189","RG-32553","137","137","112ANCHsr",-11808982.66,4243447.092,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"31","AR-0017",NA,"230,984","4,078,740","5,571","SJ-01722 POD2","17","17","",-12024268.2,4413534.035,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"32","EB-150",NA,"412,592","3,950,813","7,023","exempt","380","377","121TSUQs",-11796096.98,4259059.944,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"33","EB-395",NA,"404,140","3,929,549","6,196","X","208","208","123ESPN",-11806214.08,4232707.472,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"34","BC-0113",NA,"373,773","3,882,660","6,320","","","","",-11842676.97,4174597.703,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"35","BC-0100",NA,"373,911","3,885,290","6,726","S-00740","260","260","",-11842553.08,4177825.533,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"36","EB-109",NA,"407,319","3,948,593","6,686","RG-50036","590","590","121TSUQs",-11802555.65,4256250.951,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"37","WL-0180",NA,"434,069","3,938,579","7,331","X","","","",-11769561.85,4244180.029,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"38","TO-0410",NA,"403,564","3,870,120","6,216","","","198","112QTBF",-11806145.02,4159676.238,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"39","BW-0704",NA,"228,668","3,907,970","6,634","","","500","313SADR",-12020627.77,4201744.422,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"40","SD-0221",NA,"391,031","3,883,780","6,552","X","300","300","325MDER",-11821624.91,4176245.197,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"41","SD-0074",NA,"363,573","3,870,460","5,681","X","21","21","110ALVM",-11854905.07,4159467.696,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"42","BC-0130",NA,"384,155","3,873,160","7,263","E-08248 S5","385","385","",-11829855.4,4163123.285,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"43","BC-0329",NA,"378,704","3,885,770","6,841","","","","",-11836708.16,4178494.427,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"44","SV-0022",NA,"380,813","3,899,488","6,416","RG-71097 POD1","140","140","325MDER",-11834353.29,4195369.311,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"45","EB-212",3.53e+14,"405,848","3,926,044","6,223","RG-34646","525","410","123ESPN",-11804072.61,4228409.753,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
