country_cd	state_cd	county_cd	county_nm
US	01	001	Autauga
US	01	003	Baldwin
US	01	005	Barbour
US	01	007	Bibb
US	01	009	Blount
US	01	011	Bullock
US	01	013	Butler
US	01	015	Calhoun
US	01	017	Chambers
US	01	019	Cherokee
US	01	021	Chilton
US	01	023	Choctaw
US	01	025	Clarke
US	01	027	Clay
US	01	029	Cleburne
US	01	031	Coffee
US	01	033	Colbert
US	01	035	Conecuh
US	01	037	Coosa
US	01	039	Covington
US	01	041	Crenshaw
US	01	043	Cullman
US	01	045	Dale
US	01	047	Dallas
US	01	049	Dekalb
US	01	051	Elmore
US	01	053	Escambia
US	01	055	Etowah
US	01	057	Fayette
US	01	059	Franklin
US	01	061	Geneva
US	01	063	Greene
US	01	065	Hale
US	01	067	Henry
US	01	069	Houston
US	01	071	Jackson
US	01	073	Jefferson
US	01	075	Lamar
US	01	077	Lauderdale
US	01	079	Lawrence
US	01	081	Lee
US	01	083	Limestone
US	01	085	Lowndes
US	01	087	Macon
US	01	089	Madison
US	01	091	Marengo
US	01	093	Marion
US	01	095	Marshall
US	01	097	Mobile
US	01	099	Monroe
US	01	101	Montgomery
US	01	103	Morgan
US	01	105	Perry
US	01	107	Pickens
US	01	109	Pike
US	01	111	Randolph
US	01	113	Russell
US	01	115	St. Clair
US	01	117	Shelby
US	01	119	Sumter
US	01	121	Talladega
US	01	123	Tallapoosa
US	01	125	Tuscaloosa
US	01	127	Walker
US	01	129	Washington
US	01	131	Wilcox
US	01	133	Winston
US	02	013	Aleutians East Borough
US	02	016	Aleutians West Census Area
US	02	020	Municipality Of Anchorage
US	02	050	Bethel Census Area
US	02	060	Bristol Bay Borough
US	02	068	Denali Borough
US	02	070	Dillingham Census Area
US	02	090	Fairbanks North Star Borough
US	02	100	Haines Borough
US	02	105	Hoonah-Angoon Census Area
US	02	110	City And Borough Of Juneau
US	02	122	Kenai Peninsula Borough
US	02	130	Ketchikan Gateway Borough
US	02	150	Kodiak Island Borough
US	02	158	Kusilvak Census Area
US	02	164	Lake And Peninsula Borough
US	02	170	Matanuska-Susitna Borough
US	02	180	Nome Census Area
US	02	185	North Slope Borough
US	02	188	Northwest Arctic Borough
US	02	195	Petersburg Borough
US	02	198	Prince Of Wales-Hyder Census Area
US	02	220	City And Borough Of Sitka
US	02	230	Skagway Municipality
US	02	240	Southeast Fairbanks Census Area
US	02	261	Valdez-Cordova Census Area
US	02	270	Wade Hampton Census Area
US	02	275	City And Borough Of Wrangell
US	02	282	City And Borough Of Yakutat
US	02	290	Yukon-Koyukuk Census Area
US	04	001	Apache
US	04	003	Cochise
US	04	005	Coconino
US	04	007	Gila
US	04	009	Graham
US	04	011	Greenlee
US	04	012	La Paz
US	04	013	Maricopa
US	04	015	Mohave
US	04	017	Navajo
US	04	019	Pima
US	04	021	Pinal
US	04	023	Santa Cruz
US	04	025	Yavapai
US	04	027	Yuma
US	05	001	Arkansas
US	05	003	Ashley
US	05	005	Baxter
US	05	007	Benton
US	05	009	Boone
US	05	011	Bradley
US	05	013	Calhoun
US	05	015	Carroll
US	05	017	Chicot
US	05	019	Clark
US	05	021	Clay
US	05	023	Cleburne
US	05	025	Cleveland
US	05	027	Columbia
US	05	029	Conway
US	05	031	Craighead
US	05	033	Crawford
US	05	035	Crittenden
US	05	037	Cross
US	05	039	Dallas
US	05	041	Desha
US	05	043	Drew
US	05	045	Faulkner
US	05	047	Franklin
US	05	049	Fulton
US	05	051	Garland
US	05	053	Grant
US	05	055	Greene
US	05	057	Hempstead
US	05	059	Hot Spring
US	05	061	Howard
US	05	063	Independence
US	05	065	Izard
US	05	067	Jackson
US	05	069	Jefferson
US	05	071	Johnson
US	05	073	Lafayette
US	05	075	Lawrence
US	05	077	Lee
US	05	079	Lincoln
US	05	081	Little River
US	05	083	Logan
US	05	085	Lonoke
US	05	087	Madison
US	05	089	Marion
US	05	091	Miller
US	05	093	Mississippi
US	05	095	Monroe
US	05	097	Montgomery
US	05	099	Nevada
US	05	101	Newton
US	05	103	Ouachita
US	05	105	Perry
US	05	107	Phillips
US	05	109	Pike
US	05	111	Poinsett
US	05	113	Polk
US	05	115	Pope
US	05	117	Prairie
US	05	119	Pulaski
US	05	121	Randolph
US	05	123	St. Francis
US	05	125	Saline
US	05	127	Scott
US	05	129	Searcy
US	05	131	Sebastian
US	05	133	Sevier
US	05	135	Sharp
US	05	137	Stone
US	05	139	Union
US	05	141	Van Buren
US	05	143	Washington
US	05	145	White
US	05	147	Woodruff
US	05	149	Yell
US	06	001	Alameda
US	06	003	Alpine
US	06	005	Amador
US	06	007	Butte
US	06	009	Calaveras
US	06	011	Colusa
US	06	013	Contra Costa
US	06	015	Del Norte
US	06	017	El Dorado
US	06	019	Fresno
US	06	021	Glenn
US	06	023	Humboldt
US	06	025	Imperial
US	06	027	Inyo
US	06	029	Kern
US	06	031	Kings
US	06	033	Lake
US	06	035	Lassen
US	06	037	Los Angeles
US	06	039	Madera
US	06	041	Marin
US	06	043	Mariposa
US	06	045	Mendocino
US	06	047	Merced
US	06	049	Modoc
US	06	051	Mono
US	06	053	Monterey
US	06	055	Napa
US	06	057	Nevada
US	06	059	Orange
US	06	061	Placer
US	06	063	Plumas
US	06	065	Riverside
US	06	067	Sacramento
US	06	069	San Benito
US	06	071	San Bernardino
US	06	073	San Diego
US	06	075	San Francisco
US	06	077	San Joaquin
US	06	079	San Luis Obispo
US	06	081	San Mateo
US	06	083	Santa Barbara
US	06	085	Santa Clara
US	06	087	Santa Cruz
US	06	089	Shasta
US	06	091	Sierra
US	06	093	Siskiyou
US	06	095	Solano
US	06	097	Sonoma
US	06	099	Stanislaus
US	06	101	Sutter
US	06	103	Tehama
US	06	105	Trinity
US	06	107	Tulare
US	06	109	Tuolumne
US	06	111	Ventura
US	06	113	Yolo
US	06	115	Yuba
US	08	001	Adams
US	08	003	Alamosa
US	08	005	Arapahoe
US	08	007	Archuleta
US	08	009	Baca
US	08	011	Bent
US	08	013	Boulder
US	08	014	Broomfield
US	08	015	Chaffee
US	08	017	Cheyenne
US	08	019	Clear Creek
US	08	021	Conejos
US	08	023	Costilla
US	08	025	Crowley
US	08	027	Custer
US	08	029	Delta
US	08	031	Denver
US	08	033	Dolores
US	08	035	Douglas
US	08	037	Eagle
US	08	039	Elbert
US	08	041	El Paso
US	08	043	Fremont
US	08	045	Garfield
US	08	047	Gilpin
US	08	049	Grand
US	08	051	Gunnison
US	08	053	Hinsdale
US	08	055	Huerfano
US	08	057	Jackson
US	08	059	Jefferson
US	08	061	Kiowa
US	08	063	Kit Carson
US	08	065	Lake
US	08	067	La Plata
US	08	069	Larimer
US	08	071	Las Animas
US	08	073	Lincoln
US	08	075	Logan
US	08	077	Mesa
US	08	079	Mineral
US	08	081	Moffat
US	08	083	Montezuma
US	08	085	Montrose
US	08	087	Morgan
US	08	089	Otero
US	08	091	Ouray
US	08	093	Park
US	08	095	Phillips
US	08	097	Pitkin
US	08	099	Prowers
US	08	101	Pueblo
US	08	103	Rio Blanco
US	08	105	Rio Grande
US	08	107	Routt
US	08	109	Saguache
US	08	111	San Juan
US	08	113	San Miguel
US	08	115	Sedgwick
US	08	117	Summit
US	08	119	Teller
US	08	121	Washington
US	08	123	Weld
US	08	125	Yuma
US	09	001	Fairfield
US	09	003	Hartford
US	09	005	Litchfield
US	09	007	Middlesex
US	09	009	New Haven
