HUC Code	HUC Name
02040304	Eastern Lower Delmarva
02080108	Lynnhaven-Poquoson
02080203	Middle James-Buffalo
02080206	Lower James
02080207	Appomattox
02080208	Hampton Roads
03010101	Upper Roanoke
03010102	Middle Roanoke
03010103	Upper Dan
03010104	Lower Dan
03010105	Banister
03010106	Roanoke Rapids
03010107	Lower Roanoke
03010201	Nottoway
03010202	Blackwater
03010203	Chowan
03010204	Meherrin
03010205	Albemarle
03020101	Upper Tar
03020102	Fishing
03020103	Lower Tar
03020104	Pamlico
03020105	Pamlico Sound
03020201	Upper Neuse
03020202	Middle Neuse
03020203	Contentnea
03020204	Lower Neuse
03020301	White Oak River
03020302	New River
03030002	Haw
03030003	Deep
03030004	Upper Cape Fear
03030005	Lower Cape Fear
03030006	Black
03030007	Northeast Cape Fear
03040101	Upper Yadkin
03040102	South Yadkin
03040103	Lower Yadkin
03040104	Upper Pee Dee
03040105	Rocky
03040201	Lower Pee Dee
03040202	Lynches
03040203	Lumber
03040204	Little Pee Dee
03040205	Black
03040206	Waccamaw
03040207	Carolina Coastal-Sampit
03040208	Coastal Carolina
03050101	Upper Catawba
03050102	South Fork Catawba
03050103	Lower Catawba
03050104	Wateree
03050105	Upper Broad
03050106	Lower Broad
03050107	Tyger
03050108	Enoree
03050109	Saluda
03050110	Congaree
03050111	Lake Marion
03050112	Santee
03050201	Cooper
03050202	South Carolina Coastal
03050203	North Fork Edisto
03050204	South Fork Edisto
03050205	Four Hole Swamp
03050206	Edisto River
03050207	Salkehatchie
03050208	Broad-St. Helena
03050209	Bulls Bay
03050210	St. Helena Island
03060101	Seneca
03060102	Tugaloo
03060103	Upper Savannah
03060104	Broad
03060105	Little
03060106	Middle Savannah
03060107	Stevens
03060108	Brier
03060109	Lower Savannah
03060110	Calibogue Sound-Wright River
03060201	Upper Ogeechee
03060202	Lower Ogeechee
03060203	Canoochee
03060204	Ogeechee Coastal
03070101	Upper Oconee
03070102	Lower Oconee
03070103	Upper Ocmulgee
03070104	Lower Ocmulgee
03070105	Little Ocmulgee
03070106	Altamaha
03070107	Ohoopee
03070201	Satilla
03070202	Little Satilla
03070203	Cumberland-St. Simons
03070204	St. Marys
03070205	Nassau
03080101	Upper St. Johns
03080102	Oklawaha
03080103	Lower St. Johns
03080201	Daytona-St. Augustine
03080202	Cape Canaveral
03080203	Vero Beach
03090101	Kissimmee
03090102	Northern Okeechobee Inflow
03090103	Western Okeechobee Inflow
03090201	Lake Okeechobee
03090202	Everglades
03090203	Florida Bay-Florida Keys
03090204	Big Cypress Swamp
03090205	Caloosahatchee
03090206	Florida Southeast Coast
03100101	Peace
03100102	Myakka
03100103	Charlotte Harbor
03100201	Sarasota Bay
03100202	Manatee
03100203	Little Manatee
03100204	Alafia
03100205	Hillsborough
03100206	Tampa Bay
03100207	Crystal-Pithlachascotee
03100208	Withlacoochee
03110101	Waccasassa
03110102	Econfina-Steinhatchee
03110103	Aucilla
03110201	Upper Suwannee
03110202	Alapaha
03110203	Withlacoochee
03110204	Little
03110205	Lower Suwannee
03110206	Santa Fe
03120001	Apalachee Bay-St. Marks
03120002	Upper Ochlockonee
03120003	Lower Ochlockonee
03130001	Upper Chattahoochee
03130002	Middle Chattahoochee-Lake Harding
03130003	Middle Chattahoochee-Walter F
03130004	Lower Chattahoochee
03130005	Upper Flint
