state_cd	nat_aqfr_cd	nat_aqfr_nm
02	N100AKUNCD	Alaska unconsolidated-deposit
01	N100ALLUVL	Alluvial
05	N100ALLUVL	Alluvial
08	N100ALLUVL	Alluvial
10	N100ALLUVL	Alluvial
18	N100ALLUVL	Alluvial
20	N100ALLUVL	Alluvial
21	N100ALLUVL	Alluvial
22	N100ALLUVL	Alluvial
24	N100ALLUVL	Alluvial
29	N100ALLUVL	Alluvial
30	N100ALLUVL	Alluvial
31	N100ALLUVL	Alluvial
34	N100ALLUVL	Alluvial
36	N100ALLUVL	Alluvial
38	N100ALLUVL	Alluvial
39	N100ALLUVL	Alluvial
40	N100ALLUVL	Alluvial
42	N100ALLUVL	Alluvial
46	N100ALLUVL	Alluvial
47	N100ALLUVL	Alluvial
48	N100ALLUVL	Alluvial
49	N100ALLUVL	Alluvial
51	N100ALLUVL	Alluvial
54	N100ALLUVL	Alluvial
56	N100ALLUVL	Alluvial
04	N100BSNRGB	Basin and Range basin-fill
06	N100BSNRGB	Basin and Range basin-fill
16	N100BSNRGB	Basin and Range basin-fill
32	N100BSNRGB	Basin and Range basin-fill
35	N100BSNRGB	Basin and Range basin-fill
41	N100BSNRGB	Basin and Range basin-fill
49	N100BSNRGB	Basin and Range basin-fill
06	N100CACSTL	California Coastal Basin
16	N100CMBPLB	Columbia Plateau basin-fill
41	N100CMBPLB	Columbia Plateau basin-fill
53	N100CMBPLB	Columbia Plateau basin-fill
09	N100GLCIAL	Sand and gravel (glaciated regions)
17	N100GLCIAL	Sand and gravel (glaciated regions)
18	N100GLCIAL	Sand and gravel (glaciated regions)
19	N100GLCIAL	Sand and gravel (glaciated regions)
20	N100GLCIAL	Sand and gravel (glaciated regions)
21	N100GLCIAL	Sand and gravel (glaciated regions)
23	N100GLCIAL	Sand and gravel (glaciated regions)
25	N100GLCIAL	Sand and gravel (glaciated regions)
26	N100GLCIAL	Sand and gravel (glaciated regions)
27	N100GLCIAL	Sand and gravel (glaciated regions)
29	N100GLCIAL	Sand and gravel (glaciated regions)
30	N100GLCIAL	Sand and gravel (glaciated regions)
31	N100GLCIAL	Sand and gravel (glaciated regions)
33	N100GLCIAL	Sand and gravel (glaciated regions)
34	N100GLCIAL	Sand and gravel (glaciated regions)
36	N100GLCIAL	Sand and gravel (glaciated regions)
38	N100GLCIAL	Sand and gravel (glaciated regions)
39	N100GLCIAL	Sand and gravel (glaciated regions)
42	N100GLCIAL	Sand and gravel (glaciated regions)
44	N100GLCIAL	Sand and gravel (glaciated regions)
46	N100GLCIAL	Sand and gravel (glaciated regions)
50	N100GLCIAL	Sand and gravel (glaciated regions)
55	N100GLCIAL	Sand and gravel (glaciated regions)
08	N100HGHPLN	High Plains
20	N100HGHPLN	High Plains
31	N100HGHPLN	High Plains
35	N100HGHPLN	High Plains
40	N100HGHPLN	High Plains
46	N100HGHPLN	High Plains
48	N100HGHPLN	High Plains
56	N100HGHPLN	High Plains
05	N100MSRVVL	Mississippi River Valley alluvial
17	N100MSRVVL	Mississippi River Valley alluvial
21	N100MSRVVL	Mississippi River Valley alluvial
22	N100MSRVVL	Mississippi River Valley alluvial
28	N100MSRVVL	Mississippi River Valley alluvial
29	N100MSRVVL	Mississippi River Valley alluvial
47	N100MSRVVL	Mississippi River Valley alluvial
06	N100PCFNWB	Pacific Northwest basin-fill
16	N100PCFNWB	Pacific Northwest basin-fill
32	N100PCFNWB	Pacific Northwest basin-fill
41	N100PCFNWB	Pacific Northwest basin-fill
49	N100PCFNWB	Pacific Northwest basin-fill
53	N100PCFNWB	Pacific Northwest basin-fill
56	N100PCFNWB	Pacific Northwest basin-fill
06	N100PCFNWV	Pacific Northwest volcanic-rock
16	N100PCFNWV	Pacific Northwest volcanic-rock
30	N100PCFNWV	Pacific Northwest volcanic-rock
32	N100PCFNWV	Pacific Northwest volcanic-rock
41	N100PCFNWV	Pacific Northwest volcanic-rock
49	N100PCFNWV	Pacific Northwest volcanic-rock
53	N100PCFNWV	Pacific Northwest volcanic-rock
56	N100PCFNWV	Pacific Northwest volcanic-rock
35	N100PCSRVR	Pecos River Basin alluvial
48	N100PCSRVR	Pecos River Basin alluvial
48	N100SYMOUR	Seymour
41	N100WLMLWD	Willamette Lowland basin-fill
53	N100WLMLWD	Willamette Lowland basin-fill
40	N300ADAVMS	Ada-Vamoosa
40	N300CNRLOK	Central Oklahoma
04	N300COPLTS	Colorado Plateaus
08	N300COPLTS	Colorado Plateaus
35	N300COPLTS	Colorado Plateaus
49	N300COPLTS	Colorado Plateaus
56	N300COPLTS	Colorado Plateaus
09	N300ERLMZC	Early Mesozoic basin
24	N300ERLMZC	Early Mesozoic basin
25	N300ERLMZC	Early Mesozoic basin
34	N300ERLMZC	Early Mesozoic basin
36	N300ERLMZC	Early Mesozoic basin
37	N300ERLMZC	Early Mesozoic basin
42	N300ERLMZC	Early Mesozoic basin
51	N300ERLMZC	Early Mesozoic basin
26	N300JCBSVL	Jacobsville
55	N300JCBSVL	Jacobsville
19	N300LCRTCS	Lower Cretaceous
20	N300LCRTCS	Lower Cretaceous
27	N300LCRTCS	Lower Cretaceous
30	N300LCRTCS	Lower Cretaceous
31	N300LCRTCS	Lower Cretaceous
38	N300LCRTCS	Lower Cretaceous
46	N300LCRTCS	Lower Cretaceous
56	N300LCRTCS	Lower Cretaceous
30	N300LTRTRY	Lower Tertiary
38	N300LTRTRY	Lower Tertiary
46	N300LTRTRY	Lower Tertiary
56	N300LTRTRY	Lower Tertiary
26	N300MRSHLL	Marshall
36	N300NYSDSN	New York sandstone
01	N300PNSLVN	Pennsylvanian
13	N300PNSLVN	Pennsylvanian
17	N300PNSLVN	Pennsylvanian
18	N300PNSLVN	Pennsylvanian
21	N300PNSLVN	Pennsylvanian
24	N300PNSLVN	Pennsylvanian
26	N300PNSLVN	Pennsylvanian
39	N300PNSLVN	Pennsylvanian
42	N300PNSLVN	Pennsylvanian
47	N300PNSLVN	Pennsylvanian
51	N300PNSLVN	Pennsylvanian
54	N300PNSLVN	Pennsylvanian
40	N300RSHSPG	Rush Springs
72	N300STHCST	South Coast (Puerto Rico)
30	N300UPCTCS	Upper Cretaceous
38	N300UPCTCS	Upper Cretaceous
46	N300UPCTCS	Upper Cretaceous
56	N300UPCTCS	Upper Cretaceous
56	N300WYTRTR	Wyoming Tertiary
40	N400ABKSMP	Arbuckle-Simpson
12	N400BISCYN	Biscayne
40	N400BLAINE	Blaine
48	N400BLAINE	Blaine
04	N400BSNRGC	Basin and Range carbonate-rock
06	N400BSNRGC	Basin and Range carbonate-rock
16	N400BSNRGC	Basin and Range carbonate-rock
32	N400BSNRGC	Basin and Range carbonate-rock
49	N400BSNRGC	Basin and Range carbonate-rock
37	N400CSLHYN	Castle Hayne
78	N400KNGSHL	Kingshill (Virgin Islands)
72	N400NCSTLM	North Coast Limestone (Puerto Rico)
09	N400NYNECB	New York and New England carbonate-rock
23	N400NYNECB	New York and New England carbonate-rock
25	N400NYNECB	New York and New England carbonate-rock
34	N400NYNECB	New York and New England carbonate-rock
36	N400NYNECB	New York and New England carbonate-rock
42	N400NYNECB	New York and New England carbonate-rock
50	N400NYNECB	New York and New England carbonate-rock
